Id,SalePrice
1461,131500
1462,140000
1463,208900
1464,147000
1465,180000
1466,185000
1467,179200
1468,179000
1469,180000
1470,82000
1471,189000
1472,89500
1473,112000
1474,147000
1475,170000
1476,310000
1477,318000
1478,325000
1479,255000
1480,285000
1481,205000
1482,194000
1483,174000
1484,197000
1485,240000
1486,213000
1487,340000
1488,210000
1489,127500
1490,174000
1491,215000
1492,86000
1493,190000
1494,325000
1495,220000
1496,130000
1497,141000
1498,133000
1499,151000
1500,148000
1501,177000
1502,154000
1503,239686
1504,179000
1505,230000
1506,143000
1507,240000
1508,181000
1509,139000
1510,167500
1511,154000
1512,167500
1513,180500
1514,193500
1515,187000
1516,133000
1517,167000
1518,145000
1519,189000
1520,143000
1521,142000
1522,127500
1523,145000
1524,125000
1525,145000
1526,140000
1527,86000
1528,122900
1529,155000
1530,159000
1531,98000
1532,116000
1533,129900
1534,120500
1535,131500
1536,116000
1537,100000
1538,122000
1539,122000
1540,160000
1541,91000
1542,93000
1543,205000
1544,79000
1545,120000
1546,132500
1547,224000
1548,120000
1549,115000
1550,149000
1551,88000
1552,135000
1553,110000
1554,116000
1555,142000
1556,105000
1557,105000
1558,120500
1559,107500
1560,107500
1561,136500
1562,119900
1563,110000
1564,129500
1565,154000
1566,241500
1567,100000
1568,215000
1569,200500
1570,250000
1571,118000
1572,93000
1573,194000
1574,180500
1575,275000
1576,215000
1577,185000
1578,112000
1579,156000
1580,219500
1581,130500
1582,110000
1583,305900
1584,219500
1585,140000
1586,108000
1587,144000
1588,154000
1589,131500
1590,129900
1591,129900
1592,109500
1593,132000
1594,90000
1595,189000
1596,145000
1597,225000
1598,175000
1599,180000
1600,180000
1601,100000
1602,109500
1603,85000
1604,275000
1605,313000
1606,171000
1607,190000
1608,82500
1609,226700
1610,226700
1611,190000
1612,126000
1613,215000
1614,115000
1615,80000
1616,80000
1617,81000
1618,120500
1619,175000
1620,138000
1621,173000
1622,135000
1623,194500
1624,215000
1625,155000
1626,165000
1627,181000
1628,285000
1629,213000
1630,350000
1631,162000
1632,176000
1633,192000
1634,175000
1635,201000
1636,134900
1637,82500
1638,210000
1639,172500
1640,260000
1641,249700
1642,226000
1643,189000
1644,230000
1645,167500
1646,165000
1647,157000
1648,123000
1649,119500
1650,120500
1651,120500
1652,100000
1653,118000
1654,155000
1655,170000
1656,151000
1657,146000
1658,146000
1659,170000
1660,136500
1661,256300
1662,320000
1663,239000
1664,320000
1665,239000
1666,340000
1667,262500
1668,320000
1669,266000
1670,180500
1671,200000
1672,285000
1673,285000
1674,167900
1675,185000
1676,196000
1677,197000
1678,315000
1679,275000
1680,194000
1681,202500
1682,315000
1683,230000
1684,275000
1685,201000
1686,197000
1687,190000
1688,141000
1689,190000
1690,201000
1691,189000
1692,200000
1693,167500
1694,179000
1695,189000
1696,231500
1697,189000
1698,222500
1699,212000
1700,178000
1701,215000
1702,230500
1703,245000
1704,290000
1705,201000
1706,325000
1707,176000
1708,215200
1709,239000
1710,194000
1711,266000
1712,270000
1713,284000
1714,210000
1715,186500
1716,213000
1717,185000
1718,185000
1719,284000
1720,190000
1721,158000
1722,142500
1723,155000
1724,185000
1725,250000
1726,179200
1727,125000
1728,178000
1729,152000
1730,188000
1731,157900
1732,115000
1733,95000
1734,117500
1735,132500
1736,127000
1737,187500
1738,260000
1739,137500
1740,172500
1741,208900
1742,177000
1743,172500
1744,275000
1745,175500
1746,278000
1747,197900
1748,174000
1749,129000
1750,147000
1751,235000
1752,100000
1753,187000
1754,175500
1755,190000
1756,110000
1757,143000
1758,150000
1759,132000
1760,179900
1761,115000
1762,125000
1763,179900
1764,145000
1765,130000
1766,148000
1767,110000
1768,129000
1769,157000
1770,127500
1771,129000
1772,153000
1773,135000
1774,144000
1775,143000
1776,142500
1777,118500
1778,110000
1779,116000
1780,250000
1781,119000
1782,129000
1783,170000
1784,118500
1785,125000
1786,135000
1787,122000
1788,82500
1789,120000
1790,100000
1791,200000
1792,143000
1793,179900
1794,139000
1795,145000
1796,139000
1797,119000
1798,139000
1799,119000
1800,141000
1801,135000
1802,140000
1803,140000
1804,124000
1805,132500
1806,132500
1807,200000
1808,112000
1809,87000
1810,126000
1811,169500
1812,105000
1813,119000
1814,86000
1815,82500
1816,100000
1817,87000
1818,136500
1819,116000
1820,109900
1821,117000
1822,129500
1823,86000
1824,112000
1825,87000
1826,127000
1827,88000
1828,88000
1829,115000
1830,140000
1831,140000
1832,113000
1833,149000
1834,79900
1835,122000
1836,152000
1837,109900
1838,135000
1839,80000
1840,179000
1841,148000
1842,105000
1843,131500
1844,143000
1845,168000
1846,141000
1847,168000
1848,118000
1849,141000
1850,129000
1851,140000
1852,132000
1853,138000
1854,147000
1855,181000
1856,205000
1857,112000
1858,118858
1859,118858
1860,123000
1861,136500
1862,222500
1863,180000
1864,180000
1865,320000
1866,320000
1867,178000
1868,272000
1869,202500
1870,235000
1871,260000
1872,260000
1873,215000
1874,145000
1875,156000
1876,200500
1877,212000
1878,250000
1879,194000
1880,119500
1881,200000
1882,169900
1883,192000
1884,223500
1885,275000
1886,255000
1887,191000
1888,147000
1889,174000
1890,115000
1891,140000
1892,129000
1893,130500
1894,142000
1895,131500
1896,119000
1897,125500
1898,132500
1899,144000
1900,157000
1901,108000
1902,137000
1903,200000
1904,118000
1905,142500
1906,225000
1907,165000
1908,124000
1909,124000
1910,124000
1911,187500
1912,197900
1913,160000
1914,91000
1915,235000
1916,112000
1917,235000
1918,167900
1919,127500
1920,93500
1921,325000
1922,385000
1923,207500
1924,187500
1925,250000
1926,239000
1927,175000
1928,175000
1929,110000
1930,153900
1931,179200
1932,173000
1933,158000
1934,169000
1935,174000
1936,211000
1937,240000
1938,152000
1939,239000
1940,180000
1941,172500
1942,187500
1943,180000
1944,255000
1945,184000
1946,215000
1947,197000
1948,256000
1949,241500
1950,187500
1951,215000
1952,130500
1953,142500
1954,152000
1955,187000
1956,225000
1957,152000
1958,290000
1959,136000
1960,145000
1961,110000
1962,100000
1963,100000
1964,119500
1965,155000
1966,155000
1967,253293
1968,380000
1969,385000
1970,325000
1971,325000
1972,325000
1973,270000
1974,252000
1975,325000
1976,285000
1977,275000
1978,250000
1979,385000
1980,260000
1981,194000
1982,202500
1983,202500
1984,154000
1985,230000
1986,130000
1987,208900
1988,192000
1989,180000
1990,250000
1991,185000
1992,179000
1993,162000
1994,225000
1995,230000
1996,167900
1997,248000
1998,275000
1999,200000
2000,290000
2001,260000
2002,271000
2003,147000
2004,270000
2005,147000
2006,250580
2007,284000
2008,185000
2009,200000
2010,200000
2011,142500
2012,287090
2013,179000
2014,178000
2015,205000
2016,179000
2017,189000
2018,125000
2019,143000
2020,138500
2021,109500
2022,190000
2023,120000
2024,173000
2025,325000
2026,196000
2027,148000
2028,197000
2029,173000
2030,235000
2031,235000
2032,235000
2033,236500
2034,160000
2035,226000
2036,172500
2037,172500
2038,181000
2039,156000
2040,325000
2041,130500
2042,216000
2043,158000
2044,154000
2045,190000
2046,100000
2047,125000
2048,143000
2049,242000
2050,244000
2051,132000
2052,128500
2053,148000
2054,87000
2055,167500
2056,119000
2057,110000
2058,345000
2059,150000
2060,101800
2061,155000
2062,145000
2063,137000
2064,134500
2065,157000
2066,150000
2067,144000
2068,155000
2069,135000
2070,125000
2071,82500
2072,108000
2073,130000
2074,140000
2075,157000
2076,129000
2077,141000
2078,132500
2079,122900
2080,153000
2081,119000
2082,136000
2083,135000
2084,119000
2085,155000
2086,227000
2087,127000
2088,79000
2089,82500
2090,128000
2091,122500
2092,140000
2093,127000
2094,117000
2095,160000
2096,107500
2097,107500
2098,118000
2099,60000
2100,133000
2101,137000
2102,161000
2103,117500
2104,160000
2105,107500
2106,86000
2107,159500
2108,157900
2109,120000
2110,100000
2111,145000
2112,130000
2113,87000
2114,128000
2115,132500
2116,109500
2117,134900
2118,132500
2119,79000
2120,105000
2121,112500
2122,125500
2123,88000
2124,164000
2125,88000
2126,136000
2127,140000
2128,116000
2129,91000
2130,165000
2131,145000
2132,105000
2133,133900
2134,112000
2135,130000
2136,135000
2137,133000
2138,148000
2139,130500
2140,143000
2141,149500
2142,143000
2143,129500
2144,112000
2145,124000
2146,168000
2147,115000
2148,119000
2149,122000
2150,260000
2151,110000
2152,108000
2153,129000
2154,144000
2155,159000
2156,185000
2157,194500
2158,260000
2159,341000
2160,179900
2161,270000
2162,239000
2163,320000
2164,250000
2165,179900
2166,145000
2167,160000
2168,142500
2169,192000
2170,235000
2171,130500
2172,197500
2173,142500
2174,226000
2175,227000
2176,275000
2177,250000
2178,230000
2179,141000
2180,185000
2181,190000
2182,179900
2183,178000
2184,100000
2185,130500
2186,107000
2187,171000
2188,125000
2189,240000
2190,82000
2191,82000
2192,120500
2193,117000
2194,145000
2195,128000
2196,135000
2197,105000
2198,205000
2199,136000
2200,115000
2201,112000
2202,169500
2203,167900
2204,131500
2205,105000
2206,132000
2207,315000
2208,225000
2209,135000
2210,124000
2211,100000
2212,120500
2213,87000
2214,125000
2215,87000
2216,124000
2217,113000
2218,105000
2219,109900
2220,86000
2221,235000
2222,196000
2223,175000
2224,313000
2225,197500
2226,173000
2227,190000
2228,266000
2229,239686
2230,147000
2231,280000
2232,189000
2233,181000
2234,285000
2235,175000
2236,369900
2237,369900
2238,188000
2239,145000
2240,164000
2241,180500
2242,129900
2243,127000
2244,81000
2245,91000
2246,149900
2247,106000
2248,138000
2249,130500
2250,175000
2251,160000
2252,158000
2253,169000
2254,211000
2255,230000
2256,176000
2257,175000
2258,190000
2259,178000
2260,190000
2261,189000
2262,180000
2263,169900
2264,315000
2265,180000
2266,194000
2267,255000
2268,255000
2269,147000
2270,175500
2271,175500
2272,180000
2273,180500
2274,152000
2275,155000
2276,134000
2277,141000
2278,167500
2279,110000
2280,141000
2281,213500
2282,156000
2283,88000
2284,113000
2285,170000
2286,100000
2287,325000
2288,236500
2289,255000
2290,320000
2291,378500
2292,385000
2293,320000
2294,325000
2295,385000
2296,340000
2297,167900
2298,205000
2299,280000
2300,255000
2301,254900
2302,227000
2303,275000
2304,212000
2305,140000
2306,140000
2307,145000
2308,235000
2309,266000
2310,202500
2311,172500
2312,158000
2313,169990
2314,142500
2315,207500
2316,147000
2317,174000
2318,174000
2319,169500
2320,194000
2321,215000
2322,172500
2323,215000
2324,206900
2325,197000
2326,215000
2327,180000
2328,210000
2329,173000
2330,167900
2331,220000
2332,290000
2333,290000
2334,160000
2335,290000
2336,192000
2337,227000
2338,236500
2339,147000
2340,227680
2341,227000
2342,201000
2343,189000
2344,213000
2345,201000
2346,250580
2347,210000
2348,210000
2349,145000
2350,402861
2351,179900
2352,236500
2353,250000
2354,185000
2355,176000
2356,155000
2357,194000
2358,158900
2359,143000
2360,145000
2361,129500
2362,215000
2363,120000
2364,110000
2365,192000
2366,235000
2367,235000
2368,146000
2369,196000
2370,173000
2371,177000
2372,176000
2373,180000
2374,315000
2375,194500
2376,260000
2377,228000
2378,175000
2379,125000
2380,155000
2381,179900
2382,180000
2383,194500
2384,205000
2385,136500
2386,148000
2387,143000
2388,180500
2389,135000
2390,148000
2391,124500
2392,155000
2393,155000
2394,140000
2395,160000
2396,180500
2397,176000
2398,82500
2399,87000
2400,80000
2401,112500
2402,153000
2403,125000
2404,154000
2405,139000
2406,153000
2407,129000
2408,132500
