Id,SalePrice
1461,144000
1462,157000
1463,181000
1464,181000
1465,179200
1466,195000
1467,173000
1468,193000
1469,167000
1470,123000
1471,189000
1472,112000
1473,88000
1474,148500
1475,120000
1476,320000
1477,255000
1478,232000
1479,232000
1480,232000
1481,255000
1482,202500
1483,176432
1484,194000
1485,230000
1486,195000
1487,340000
1488,232000
1489,179900
1490,220000
1491,186500
1492,112000
1493,154000
1494,250000
1495,271000
1496,189000
1497,195000
1498,151000
1499,151000
1500,193000
1501,177500
1502,112000
1503,189000
1504,193000
1505,208900
1506,143000
1507,175000
1508,168000
1509,193000
1510,143000
1511,142000
1512,143000
1513,112000
1514,220000
1515,139000
1516,140000
1517,147000
1518,143000
1519,220000
1520,142000
1521,142000
1522,143000
1523,124000
1524,145000
1525,139000
1526,80000
1527,145000
1528,138500
1529,155000
1530,167000
1531,128000
1532,98000
1533,125000
1534,125500
1535,133000
1536,119000
1537,100000
1538,136000
1539,193000
1540,136000
1541,117000
1542,117000
1543,177000
1544,123000
1545,125500
1546,132500
1547,131000
1548,131000
1549,134900
1550,132500
1551,157000
1552,153900
1553,130500
1554,128000
1555,163500
1556,112000
1557,136500
1558,117000
1559,122000
1560,193000
1561,136500
1562,130000
1563,136500
1564,171000
1565,154000
1566,302000
1567,105000
1568,168000
1569,147000
1570,168000
1571,140000
1572,153000
1573,143000
1574,180500
1575,170000
1576,230000
1577,185000
1578,112000
1579,152000
1580,176500
1581,193000
1582,125500
1583,220000
1584,236000
1585,136500
1586,86000
1587,112000
1588,142000
1589,144000
1590,155000
1591,130000
1592,230000
1593,110000
1594,119500
1595,136000
1596,177000
1597,168000
1598,230000
1599,194000
1600,194000
1601,86000
1602,112000
1603,124000
1604,275000
1605,193000
1606,171000
1607,171000
1608,230000
1609,147000
1610,167500
1611,115000
1612,213500
1613,181000
1614,133000
1615,88000
1616,88000
1617,88000
1618,130000
1619,147000
1620,200000
1621,129500
1622,136500
1623,210000
1624,230000
1625,123000
1626,167900
1627,164000
1628,287000
1629,193000
1630,278000
1631,189000
1632,193000
1633,176500
1634,193000
1635,177500
1636,176000
1637,171000
1638,195000
1639,168000
1640,197500
1641,220000
1642,175900
1643,186500
1644,230000
1645,214000
1646,155000
1647,134000
1648,124000
1649,197500
1650,120500
1651,120500
1652,100000
1653,100000
1654,148500
1655,147000
1656,146000
1657,119500
1658,124000
1659,148500
1660,176500
1661,345000
1662,340000
1663,335000
1664,320000
1665,230000
1666,385000
1667,335000
1668,284000
1669,325000
1670,320000
1671,232000
1672,385000
1673,310000
1674,232000
1675,175900
1676,196000
1677,230000
1678,385000
1679,285000
1680,193000
1681,230000
1682,315000
1683,202500
1684,174000
1685,174000
1686,159895
1687,189000
1688,181000
1689,178000
1690,193000
1691,162000
1692,230000
1693,112000
1694,193000
